Class,Precision,Recall,F1
0,0.79780364,0.9593475,0.8711498
1,0.0,0.0,0.0
2,0.46753246,0.27307206,0.34477255
3,0.45945945,0.24817519,0.3222749
4,0.5058824,0.43,0.46486485
